n,win_rate,avg_net_pct,total_pct,max_dd_pct,sharpe,tp_rate,sl_rate,timeout_rate,rally_lb,rally_thr,rsi_thr,tp_pct,sl_pct,hold_bars,symbol
43,37.21,-0.5071,-19.952,-19.384,-7.179,2.3,48.8,48.8,4,1.5,55,3.0,1.5,12,BTCUSDT
39,35.9,-0.3852,-14.471,-13.976,-4.266,12.8,56.4,30.8,4,1.5,55,3.0,1.5,24,BTCUSDT
41,53.66,-0.4391,-16.774,-17.871,-6.765,0.0,17.1,82.9,4,1.5,55,3.0,2.5,6,BTCUSDT
38,39.47,-0.6851,-23.362,-22.819,-8.234,2.6,23.7,73.7,4,1.5,55,3.0,2.5,12,BTCUSDT
31,35.48,-0.8145,-22.834,-22.463,-8.175,6.5,38.7,54.8,4,1.5,55,3.0,2.5,24,BTCUSDT
39,48.72,-0.4758,-17.245,-18.336,-7.075,0.0,2.6,97.4,4,1.5,55,3.0,4.0,6,BTCUSDT
34,35.29,-0.86,-25.878,-25.353,-8.986,2.9,11.8,85.3,4,1.5,55,3.0,4.0,12,BTCUSDT
28,35.71,-1.0966,-27.065,-25.985,-9.572,7.1,21.4,71.4,4,1.5,55,3.0,4.0,24,BTCUSDT
39,61.54,-0.0973,-3.932,-7.244,-1.773,46.2,25.6,28.2,4,1.5,60,1.0,1.5,6,BTCUSDT
39,61.54,-0.1321,-5.269,-6.985,-2.201,53.8,33.3,12.8,4,1.5,60,1.0,1.5,12,BTCUSDT
38,60.53,-0.1568,-6.059,-7.571,-2.452,60.5,39.5,0.0,4,1.5,60,1.0,1.5,24,BTCUSDT
38,60.53,-0.1394,-5.446,-8.706,-2.139,50.0,13.2,36.8,4,1.5,60,1.0,2.5,6,BTCUSDT
37,56.76,-0.3283,-11.777,-13.374,-4.502,54.1,16.2,29.7,4,1.5,60,1.0,2.5,12,BTCUSDT
35,65.71,-0.1788,-6.436,-9.277,-2.308,65.7,22.9,11.4,4,1.5,60,1.0,2.5,24,BTCUSDT
36,58.33,-0.2935,-10.398,-13.487,-3.806,47.2,2.8,50.0,4,1.5,60,1.0,4.0,6,BTCUSDT
33,54.55,-0.495,-15.492,-17.022,-5.733,51.5,9.1,39.4,4,1.5,60,1.0,4.0,12,BTCUSDT
31,70.97,-0.2108,-6.798,-8.878,-2.267,67.7,12.9,19.4,4,1.5,60,1.0,4.0,24,BTCUSDT
36,47.22,-0.3448,-11.861,-13.267,-6.448,11.1,27.8,61.1,4,1.5,60,1.5,1.5,6,BTCUSDT
35,45.71,-0.3854,-12.891,-14.427,-5.772,22.9,45.7,31.4,4,1.5,60,1.5,1.5,12,BTCUSDT
34,44.12,-0.3641,-11.983,-13.912,-4.777,41.2,52.9,5.9,4,1.5,60,1.5,1.5,24,BTCUSDT
35,54.29,-0.3154,-10.727,-12.063,-4.692,17.1,14.3,68.6,4,1.5,60,1.5,2.5,6,BTCUSDT
33,45.45,-0.5808,-17.809,-19.258,-7.264,24.2,21.2,54.5,4,1.5,60,1.5,2.5,12,BTCUSDT
30,46.67,-0.5842,-16.505,-19.298,-6.408,36.7,33.3,30.0,4,1.5,60,1.5,2.5,24,BTCUSDT
33,51.52,-0.3895,-12.374,-13.779,-5.312,15.2,3.0,81.8,4,1.5,60,1.5,4.0,6,BTCUSDT
29,44.83,-0.6698,-18.078,-19.523,-7.33,24.1,10.3,65.5,4,1.5,60,1.5,4.0,12,BTCUSDT
25,52.0,-0.692,-16.391,-18.163,-6.424,32.0,16.0,52.0,4,1.5,60,1.5,4.0,24,BTCUSDT
36,47.22,-0.3432,-11.813,-13.063,-6.307,5.6,27.8,66.7,4,1.5,60,2.0,1.5,6,BTCUSDT
35,42.86,-0.376,-12.631,-12.844,-5.334,14.3,45.7,40.0,4,1.5,60,2.0,1.5,12,BTCUSDT
34,44.12,-0.2096,-7.315,-7.457,-2.43,35.3,52.9,11.8,4,1.5,60,2.0,1.5,24,BTCUSDT
35,54.29,-0.3157,-10.743,-11.92,-4.63,8.6,14.3,77.1,4,1.5,60,2.0,2.5,6,BTCUSDT
33,42.42,-0.5523,-17.066,-17.268,-6.529,18.2,21.2,60.6,4,1.5,60,2.0,2.5,12,BTCUSDT
29,44.83,-0.5101,-14.239,-15.72,-5.117,31.0,34.5,34.5,4,1.5,60,2.0,2.5,24,BTCUSDT
33,51.52,-0.405,-12.819,-14.063,-5.537,6.1,3.0,90.9,4,1.5,60,2.0,4.0,6,BTCUSDT
29,41.38,-0.6547,-17.744,-17.944,-6.892,17.2,10.3,72.4,4,1.5,60,2.0,4.0,12,BTCUSDT
25,52.0,-0.5695,-13.832,-14.837,-4.969,28.0,16.0,56.0,4,1.5,60,2.0,4.0,24,BTCUSDT
36,44.44,-0.4142,-14.024,-15.243,-8.232,0.0,27.8,72.2,4,1.5,60,3.0,1.5,6,BTCUSDT
35,42.86,-0.4188,-13.935,-13.325,-5.934,2.9,45.7,51.4,4,1.5,60,3.0,1.5,12,BTCUSDT
33,39.39,-0.2052,-7.049,-8.869,-2.182,15.2,51.5,33.3,4,1.5,60,3.0,1.5,24,BTCUSDT
